"Slug","Page Type","Redirect URL","Title","Meta Description","Cover Image URL","Video Embed URL","What You Will Learn Images","Button Text","Button URL","Is Active"
"/courses/All--Course--Access-Pass-Quarterly-69a167a0ce605c44ff74ec63","Content","","All- Course- Access Pass Quarterly","Master the art of All- Course- Access Pass Quarterly with our comprehensive step-by-step masterclass.","https://d502jbuhuh9wk.cloudfront.net/resources/images/cc4.jpg","","","Enroll Now","https://pages.razorpay.com/acadmaplus","TRUE"
"/courses/All-Course-Access-Pass-698edd4dcb12575885256856","Content","","All-Course Access Yearly pass","Master the art of All-Course Access Yearly pass with our comprehensive step-by-step masterclass.","https://d502jbuhuh9wk.cloudfront.net/courses/698edd4dcb12575885256856/698edd4dcb12575885256856_scaled_cover.jpg?v=1","","","Enroll Now","","TRUE"
"/courses/All-697723333e29496b34bb8869","Content","","All-Course Access Pass Monthly","Republic day flash sale is a limited-time promotion to celebrate the spirit of the nation and offer exclusive discounts on various products and services.","https://d502jbuhuh9wk.cloudfront.net/courses/697723333e29496b34bb8869/697723333e29496b34bb8869_scaled_cover.jpg?v=1","","","Enroll Now","","TRUE"
"/courses/5-Days-Basic-Makeup-Masterclass-692ed34f72249d2d15f03ef8","Content","","5 Days Basic Makeup Masterclass","Master the art of 5 Days Basic Makeup Masterclass with our comprehensive step-by-step masterclass.","https://d502jbuhuh9wk.cloudfront.net/courses/692ed34f72249d2d15f03ef8/692ed34f72249d2d15f03ef8_scaled_cover.jpg?v=1","","","Enroll Now","","TRUE"
"/courses/Special-Baking-Combo-15-days-Course-68d0ed17481c8f1fe91cb58e","Content","","Special Baking Combo-15 days Course","This 15-day special baking combo course is perfect for baking enthusiasts looking to master a variety of advanced baking techniques. From intricate cake decorations to artisan bread making, this course covers it all. Join us on this delectable journey to elevate your baking skills to the next level!","https://d502jbuhuh9wk.cloudfront.net/courses/68d0ed17481c8f1fe91cb58e/68d0ed17481c8f1fe91cb58e_scaled_cover.jpg?v=1","","","Enroll Now","","TRUE"
"/courses/Diwali-Special-Macrame-Art-68c5348aaccd78420b51f974","Content","","Diwali Special Macrame Art","Learn how to create beautiful macrame art pieces inspired by the festival of Diwali, using traditional knotting techniques and festive colors. This course will teach you the basics of macrame, as well as advanced tips and tricks to create stunning Diwali decorations.","https://d502jbuhuh9wk.cloudfront.net/courses/68c5348aaccd78420b51f974/68c5348aaccd78420b51f974_scaled_cover.jpg?v=1","","","Enroll Now","","TRUE"
"/courses/Basic-To-Advanced-Silicon-Mould-Making-Masterclass-68c532a5d05d84082f5d1ee5","Content","","Basic To Advanced Silicon Mould Making Masterclass","This comprehensive masterclass covers everything you need to know about silicon mould making, from the basic techniques to advanced strategies. Perfect for beginners and experienced creators alike, this course will enhance your skills and take your mould making abilities to the next level.","https://d502jbuhuh9wk.cloudfront.net/courses/68c532a5d05d84082f5d1ee5/68c532a5d05d84082f5d1ee5_scaled_cover.jpg?v=1","","","Enroll Now","","TRUE"
"/courses/DIY-Workshop--05-Days-Course--68511b2a5717044f1bf37784","Content","","DIY Workshop ( 05 Days Course )","This 05-day DIY workshop is designed to unleash your creativity and teach you practical skills to create unique handmade items. Whether you're a beginner or experienced crafter, this course will inspire and empower you to design, build, and personalize your own creations.","https://d502jbuhuh9wk.cloudfront.net/courses/68511b2a5717044f1bf37784/68511b2a5717044f1bf37784_scaled_cover.jpg?v=1","","","Enroll Now","","TRUE"
"/courses/Alcohol-Ink-Art-Workshop--04-days-course--685119c3af1d113a686abc4b","Content","","Alcohol Ink Art Workshop ( 04 days course )","Unleash your creativity with this Alcohol Ink Art Workshop! In this course, you will learn the unique techniques of working with alcohol ink to create mesmerizing abstract art pieces. Whether you're a beginner or an experienced artist, this workshop will inspire you to explore new possibilities and express yourself through vibrant colors and fluid designs.","https://d502jbuhuh9wk.cloudfront.net/courses/685119c3af1d113a686abc4b/685119c3af1d113a686abc4b_scaled_cover.jpg?v=1","","","Enroll Now","","TRUE"
"/courses/Concrete-Art-Masterclass---Beginners-6843a0bbee5dab24df234daa","Content","","Concrete Art Masterclass - Beginners","This Concrete Art Masterclass is a comprehensive course that dives deep into the techniques, processes, and principles of creating stunning concrete art pieces. You will learn how to mix and pour concrete, create unique textures, add colors, and finish your work with a professional touch.","https://d502jbuhuh9wk.cloudfront.net/courses/6843a0bbee5dab24df234daa/6843a0bbee5dab24df234daa_scaled_cover.jpg?v=2","","","Enroll Now","","TRUE"
"/courses/Basic-Sculpture-Art-Masterclass-684321651853fe2305c38264","Content","","Basic Sculpture Art Masterclass","This masterclass is a comprehensive introduction to the world of sculpture art, covering the basic techniques, tools, and materials needed to create your own masterpieces. Whether you're a beginner or an intermediate artist looking to hone your sculpting skills, this course will provide you with the foundational knowledge to create stunning sculptures.","https://d502jbuhuh9wk.cloudfront.net/courses/684321651853fe2305c38264/684321651853fe2305c38264_scaled_cover.jpg?v=1","","","Enroll Now","","TRUE"
"/courses/Art-And-Craft-All-Courses-682d8520f199e12637879135","Content","","Art And Craft All Courses - Basic","Master the art of Art And Craft All Courses - Basic with our comprehensive step-by-step masterclass.","https://d502jbuhuh9wk.cloudfront.net/courses/682d8520f199e12637879135/682d8520f199e12637879135_scaled_cover.jpg?v=1","","","Enroll Now","","TRUE"
"/courses/Basic-to-Advanced-Candle-Making-Masterclass-680785aa2b0fe87922524e6a","Content","","Basic to Advanced Candle Making Masterclass","This comprehensive masterclass covers everything from the basics of candle making to advanced techniques and designs. Whether you're a beginner or experienced crafter, you'll learn valuable skills to create beautiful and unique candles.","https://d502jbuhuh9wk.cloudfront.net/courses/680785aa2b0fe87922524e6a/680785aa2b0fe87922524e6a_scaled_cover.jpg?v=1","","","Enroll Now","","TRUE"
"/courses/Basic-to-Advanced-Texture-Art-Workshop-6806266b7f970c785d7c1560","Content","","Basic to Advanced Texture Art Workshop","This workshop is designed to take you from the basics of texture art to advanced techniques, helping you create stunning textures for your artworks.","https://d502jbuhuh9wk.cloudfront.net/courses/6806266b7f970c785d7c1560/6806266b7f970c785d7c1560_scaled_cover.jpg?v=1","","","Enroll Now","","TRUE"
"/courses/Become-A-Professional-Resin-Artist-680605aed138a26261523540","Content","","Become A Professional Resin Artist","This course will teach you the art of resin crafting from beginner to advanced levels. From understanding different types of resins to creating stunning art pieces, you will learn all the techniques and tips to become a professional resin artist.","https://d502jbuhuh9wk.cloudfront.net/courses/680605aed138a26261523540/680605aed138a26261523540_scaled_cover.jpg?v=1","","","Enroll Now","","TRUE"
"/courses/Silicon-Mould-Making-for-making-candles-or-resin-680211e3000e7c014071987d","Content","","Silicon Mould Making for making candles or resin","Learn the art of creating silicon moulds for crafting candles or resin pieces with this comprehensive course. Discover the techniques and nuances of mould making to elevate your candle or resin crafting projects to the next level.","https://d502jbuhuh9wk.cloudfront.net/courses/680211e3000e7c014071987d/680211e3000e7c014071987d_scaled_cover.jpg?v=2","","","Enroll Now","","TRUE"
"/courses/Basic-to-Advanced-Texture-Art-workshop-67e13bc8a8938f53ab8a8806","Content","","Basic to Advanced Texture Art workshop","This workshop is designed to take you from the basics of texture art to advanced techniques, teaching you how to create stunning textures for your digital artwork. You will learn the fundamentals of texture creation, various tools and software used in texture art, and advanced methods to enhance the realism and visual appeal of your textures.","https://d502jbuhuh9wk.cloudfront.net/courses/67e13bc8a8938f53ab8a8806/67e13bc8a8938f53ab8a8806_scaled_cover.jpg?v=2","","","Enroll Now","","TRUE"
"/courses/Textur-67e135e374b82262b21f408f","Content","","Basic Texture Art Masterclass","Join this beginner-friendly course to learn the fundamentals of creating captivating textures in digital art. Explore essential techniques and tools to enhance your artwork with depth and detail.","https://d502jbuhuh9wk.cloudfront.net/courses/67e135e374b82262b21f408f/67e135e374b82262b21f408f_scaled_cover.jpg?v=2","","","Enroll Now","","TRUE"
"/courses/Basic-Candle-Making-Masterclass-67e12ec9a8938f53ab8a7f53","Content","","Basic Candle Making Masterclass","Learn the art of candle making from scratch in this comprehensive masterclass. From choosing the right wax to adding fragrance and coloring, you'll gain all the skills needed to create beautiful candles at home.","https://d502jbuhuh9wk.cloudfront.net/courses/67e12ec9a8938f53ab8a7f53/67e12ec9a8938f53ab8a7f53_scaled_cover.jpg?v=2","","","Enroll Now","","TRUE"
"/courses/Basic-Resin-Art-Masterclass-1741003997011-67c59cdd41b8c1642f05ba5e","Content","","Basic Resin Art Masterclass","Master the art of Basic Resin Art Masterclass with our comprehensive step-by-step masterclass.","https://d502jbuhuh9wk.cloudfront.net/courses/67c59cdd41b8c1642f05ba5e/67c59cdd41b8c1642f05ba5e_scaled_cover.jpg?v=2","","","Enroll Now","","TRUE"
"/courses/Basic-Resin-Art-Masterclass-67c1aca82ab5fd627705918b","Content","","Basic - Resin Art Masterclass","Master the art of Basic - Resin Art Masterclass with our comprehensive step-by-step masterclass.","https://d502jbuhuh9wk.cloudfront.net/courses/67c1aca82ab5fd627705918b/67c1aca82ab5fd627705918b_scaled_cover.jpg?v=2","","","Enroll Now","","TRUE"
